台灣,#genre#
parse=1
player=2
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36
referer=https://www.4gtv.tv
民視第一台,https://www.4gtv.tv/channel/4gtv-4gtv003?set=1&ch=1
民視台灣台,https://www.4gtv.tv/channel/4gtv-4gtv001?set=1&ch=2
民視,https://www.4gtv.tv/channel/4gtv-4gtv002?set=1&ch=3
民視綜藝,https://www.4gtv.tv/channel/4gtv-4gtv004?set=4&ch=16
民視旅遊,https://www.4gtv.tv/channel/litv-ftv07?set=4&ch=61
民視新聞,https://www.4gtv.tv/channel/litv-ftv13?set=1&ch=31
民視影劇,https://www.4gtv.tv/channel/litv-ftv09?set=4&ch=24
中視,https://www.4gtv.tv/channel/4gtv-4gtv040?set=1&ch=4
中視新聞,https://www.4gtv.tv/channel/4gtv-4gtv074?set=4&ch=33
中視經典,https://www.4gtv.tv/channel/4gtv-4gtv080?set=1&ch=124
中视菁采台,https://www.4gtv.tv/channel/4gtv-4gtv064?set=1&ch=123
華視,https://www.4gtv.tv/channel/4gtv-4gtv041?set=1&ch=6
華視新聞,https://www.4gtv.tv/channel/4gtv-4gtv052?set=1&ch=34
TVBS新聞台,https://www.4gtv.tv/channel/4gtv-live072?set=4&ch=129
東森新聞,https://www.4gtv.tv/channel/4gtv-live114?set=1&ch=234
東森財經新聞,https://www.4gtv.tv/channel/4gtv-live019?set=4&ch=211
三立iNEWS,https://www.4gtv.tv/channel/4gtv-live089?set=4&ch=229
寰宇新聞,https://www.4gtv.tv/channel/litv-longturn14?set=4&ch=36
鏡新聞,https://www.4gtv.tv/channel/4gtv-4gtv075?set=1&ch=268
中天新聞,https://www.4gtv.tv/channel/4gtv-4gtv009?set=4&ch=30
大愛一臺,https://www.4gtv.tv/channel/4gtv-live007?set=1&ch=209
大愛二臺,https://www.4gtv.tv/channel/4gtv-live106?set=1&ch=230
龍華戲劇,https://www.4gtv.tv/channel/litv-longturn18?set=1&ch=23
龍華日韓,https://www.4gtv.tv/channel/litv-longturn11?set=1&ch=28
龍華電影,https://www.4gtv.tv/channel/litv-longturn03?set=1&ch=121
影迷數位電影,https://www.4gtv.tv/channel/4gtv-4gtv011?set=1&ch=40
HITS,https://www.4gtv.tv/channel/4gtv-live620?set=1&ch=186
