臺灣 Taiwan,#genre#
AXN,http://193.24.209.91/Smart.php?id=axn_twn
CINEMAX,http://193.24.209.91/Smart.php?id=cinemax_twn
EYE戲劇,http://193.24.209.91/Smart.php?id=eyetvxiju_twn
EYE旅遊,http://193.24.209.91/Smart.php?id=eyetvtravel_twn
HBO_HD,http://193.24.209.91/Smart.php?id=hbohd_twn
HBO_HITS,http://193.24.209.91/Smart.php?id=hbohits_twn
Hollywood Movies,http://193.24.209.91/Smart.php?id=hollywoodmovies_twn
MTV Live,http://193.24.209.91/Smart.php?id=mtvhd_twn
TLC,http://193.24.209.91/Smart.php?id=tlc_twn
東森新聞,http://193.24.209.91/Smart.php?id=ettvnews
TVBS HD,http://193.24.209.91/Smart.php?id=tvbs
TVBS新聞台,http://193.24.209.91/Smart.php?id=tvbs_n
TVBS歡樂台,http://193.24.209.91/Smart.php?id=tvbshuanle_twn
三立台灣台,http://193.24.209.91/Smart.php?id=sanlitaiwan
三立戲劇台,http://193.24.209.91/Smart.php?id=sanlixiju_twn
三立綜合台,http://193.24.209.91/Smart.php?id=sanlizhonghe
三立都會台,http://193.24.209.91/Smart.php?id=sanlidouhui
中天亞洲台,http://193.24.209.91/Smart.php?id=ctiasia_twn
中天娱樂,http://193.24.209.91/Smart.php?id=ctient
中天新聞HD,http://193.24.209.91/Smart.php?id=ctinews
中天綜合,http://193.24.209.91/Smart.php?id=ctizhonghe
亞洲旅遊台,http://193.24.209.91/Smart.php?id=asiatravel_twn
亞洲美食,http://193.24.209.91/Smart.php?id=afc_twn
八大娱樂,http://193.24.209.91/Smart.php?id=badaentertain
八大戲劇,http://193.24.209.91/Smart.php?id=badadrama
八大第一,http://193.24.209.91/Smart.php?id=badafirst
八大綜合,http://193.24.209.91/Smart.php?id=badazhonghe
公視,http://193.24.209.91/Smart.php?id=ctv_taiwan
博斯無限,http://193.24.209.91/Smart.php?id=bosiunlimited_twn
博斯網球,http://193.24.209.91/Smart.php?id=bositennis_twn
博斯運動1,http://193.24.209.91/Smart.php?id=bosisport1_twn
博斯運動2,http://193.24.209.91/Smart.php?id=bosisport2_twn
博斯高球2,http://193.24.209.91/Smart.php?id=bosigolf2_twn
民視,http://193.24.209.91/Smart.php?id=ftvhd_taiwan
民視台灣台,http://193.24.209.91/Smart.php?id=ftvtaiwan_twn
民視新聞台,http://193.24.209.91/Smart.php?id=ftvnew_taiwan
台視,http://193.24.209.91/Smart.php?id=ttv_taiwan
台視新聞台,http://193.24.209.91/Smart.php?id=ttvnews_twn
台視綜合台,http://193.24.209.91/Smart.php?id=ttvzhonghe_twn
中視,http://193.24.209.91/Smart.php?id=zhongshihd_twn
中視新聞台,http://193.24.209.91/Smart.php?id=zhongshinews_twn
華視,http://193.24.209.91/Smart.php?id=ctshd_twn
華藝綜合,http://193.24.209.91/Smart.php?id=weishichinese_twn
大愛一台,http://193.24.209.91/Smart.php?id=daai_twn
大愛二台,http://193.24.209.91/Smart.php?id=catchplay_twn
好消息2,http://193.24.209.91/Smart.php?id=goods_twn
寰宇新聞台,http://193.24.209.91/Smart.php?id=huanyuxinwen_twn
寰宇財經台,http://193.24.209.91/Smart.php?id=huanyutaiwan_twn
年代新聞台,http://193.24.209.91/Smart.php?id=niandainews_twn
愛爾達影劇,http://193.24.209.91/Smart.php?id=eltayingju_twn
愛爾達影劇,http://193.24.209.91/Smart.php?id=eltayingju_twn
愛爾達綜合,http://193.24.209.91/Smart.php?id=eltazonghe_twn
愛爾達體育2,http://193.24.209.91/Smart.php?id=eltasport2_twn
愛爾達體育3,http://193.24.209.91/Smart.php?id=eltasport3_twn
東森幼幼,http://193.24.209.91/Smart.php?id=yoyo_twn
東森戲劇,http://193.24.209.91/Smart.php?id=ettvdrama
東森洋片,http://193.24.209.91/Smart.php?id=ettvwestern
東森綜合,http://193.24.209.91/Smart.php?id=ettvzhonghe
東森財經新聞,http://193.24.209.91/Smart.php?id=ettvcaijing_twn
東森超視,http://193.24.209.91/Smart.php?id=ettvsuper
東森電影,http://193.24.209.91/Smart.php?id=ettvmovie
緯來日本台,http://193.24.209.91/Smart.php?id=videolandjapan
緯來體育台,http://193.24.209.91/Smart.php?id=videolandsport
美亞電影,http://193.24.209.91/Smart.php?id=meiyamovie_twn
美食星球,http://193.24.209.91/Smart.php?id=foodplanet_twn
阿里郎 Arirang,http://193.24.209.91/Smart.php?id=arirang_twn
靖天卡通台,http://193.24.209.91/Smart.php?id=jingtiancartoon_twn
靖天國際台,http://193.24.209.91/Smart.php?id=jingtianintl_twn
非凡新聞台,http://193.24.209.91/Smart.php?id=feifannews_twn
龍祥時代,http://193.24.209.91/Smart.php?id=lungxiangtime_twn
龍華偶像,http://193.24.209.91/Smart.php?id=lunghuaidol_twn
龍華戲劇,http://193.24.209.91/Smart.php?id=lunghuaxiju_twn
龍華洋片,http://193.24.209.91/Smart.php?id=lunghuawestern_twn
龍華經典,http://193.24.209.91/Smart.php?id=lunghuajingdian_twn
龍華電影,http://193.24.209.91/Smart.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,http://193.24.209.91/Smart.php?id=TV1
TV1(備用),http://193.24.209.91/Smart.php?id=TV1_backup
TV2,http://193.24.209.91/Smart.php?id=TV2
TV3,http://193.24.209.91/Smart.php?id=TV3
TV3(備用),http://193.24.209.91/Smart.php?id=tv3_twn
NTV7,http://193.24.209.91/Smart.php?id=NTV7
TV8,http://193.24.209.91/Smart.php?id=TV8
TV9,http://193.24.209.91/Smart.php?id=TV9
Warna,http://193.24.209.91/Smart.php?id=Warna-O
Warna(備用),http://193.24.209.91/Smart.php?id=Warna
Ria,http://193.24.209.91/Smart.php?id=Ria-0
Ria(備用),http://193.24.209.91/Smart.php?id=Ria49
Ria-3,http://193.24.209.91/Smart.php?id=Ria_quanjia
Al-Hijrah,http://193.24.209.91/Smart.php?id=Alhijrah
Al-Hijrah(備用),http://193.24.209.91/Smart.php?id=Alhijrah_backup
Awani,http://193.24.209.91/Smart.php?id=Awani
Bernama,http://193.24.209.91/Smart.php?id=Bernama
Prima,http://193.24.209.91/Smart.php?id=Prima-0
Prima(備用),http://193.24.209.91/Smart.php?id=Prima49
Ceria,http://193.24.209.91/Smart.php?id=Ceria
Astro MTV,http://193.24.209.91/Smart.php?id=AstroMTV
Mecca Live HD,http://193.24.209.91/Smart.php?id=quran_mido
Madinah HD,http://193.24.209.91/Smart.php?id=sunnah_mido
Oasis,http://193.24.209.91/Smart.php?id=Oasis
HBO HD,http://193.24.209.91/Smart.php?id=Hbo
HBO Signature,http://193.24.209.91/Smart.php?id=Hbosignature
HBO Hits,http://193.24.209.91/Smart.php?id=Hbohits
NatGeo Wild HD,http://193.24.209.91/Smart.php?id=Natgeowild
Cartoon Network,http://193.24.209.91/Smart.php?id=Cn
Nickelodeon,http://193.24.209.91/Smart.php?id=Nickelodeon
Nick Jr,http://193.24.209.91/Smart.php?id=Nickjr
Citra,http://193.24.209.91/Smart.php?id=Citra
Sensasi,http://193.24.209.91/Smart.php?id=Sensasi
Aura,http://193.24.209.91/Smart.php?id=Aura
Rania,http://193.24.209.91/Smart.php?id=Rania
Boo,http://193.24.209.91/Smart.php?id=Boo
Awesome TV,http://193.24.209.91/Smart.php?id=Awesome_mega
Sony HD,http://193.24.209.91/Smart.php?id=SetOne
KBS World,http://193.24.209.91/Smart.php?id=KBS
TvN,http://193.24.209.91/Smart.php?id=TVN
Astro Premier,http://193.24.209.91/Smart.php?id=Astropremier
AEC,http://193.24.209.91/Smart.php?id=AEC
華麗台 HD,http://193.24.209.91/Smart.php?id=Wlt
歡喜台 HD,http://193.24.209.91/Smart.php?id=Huahee
歡喜台(備用),http://193.24.209.91/Smart.php?id=Huahee_backup
Astro QJ,http://193.24.209.91/Smart.php?id=Quanjia
TVB Jade,http://193.24.209.91/Smart.php?id=Tvbjade
TVB Asia,http://193.24.209.91/Smart.php?id=Tvbasia
TVB Entertainment,http://193.24.209.91/Smart.php?id=Tvbentertainment
TVB Classic,http://193.24.209.91/Smart.php?id=Tvbclassic
AOD,http://193.24.209.91/Smart.php?id=AodHD
One,http://193.24.209.91/Smart.php?id=One_mega
TVB 星河台,http://193.24.209.91/Smart.php?id=Xinhe
愛奇藝,http://193.24.209.91/Smart.php?id=Qiyi
Animal Planet (Eng),http://193.24.209.91/Smart.php?id=AnimalPlanet
tvN Movie,http://193.24.209.91/Smart.php?id=Tvnmovie
CNN(備用),http://193.24.209.91/Smart.php?id=cnn_twn
Celestial Classic,http://193.24.209.91/Smart.php?id=Celestial2
CNBC,http://193.24.209.91/Smart.php?id=cnbc_twn
RTM Sports HD,http://193.24.209.91/Smart.php?id=Rtmsport
TLC,http://193.24.209.91/Smart.php?id=Tlc
CNA,http://193.24.209.91/Smart.php?id=cna
AFC 亞洲旅遊台,http://193.24.209.91/Smart.php?id=asiatravel_twn
BBC World News,http://193.24.209.91/Smart.php?id=bbcnews_twn
Foodnetwork Hd,http://193.24.209.91/Smart.php?id=Foodnetwork_mega
HGTV,http://193.24.209.91/Smart.php?id=HGTV
Arena,http://193.24.209.91/Smart.php?id=Arena
Goshop,http://193.24.209.91/Smart.php?id=Goshop
Celestial Movies HD,http://193.24.209.91/Smart.php?id=Celestial_mega
Arena 2,http://193.24.209.91/Smart.php?id=Arena2
Axn HD,http://193.24.209.91/Smart.php?id=Axn
Paramount Network,http://193.24.209.91/Smart.php?id=Paramountnetwork
BolaArena 1,http://193.24.209.91/Smart.php?id=Bolaarena1
Astrol Kplus,http://193.24.209.91/Smart.php?id=Kplus
Rock Actions,http://193.24.209.91/Smart.php?id=Rockaction
Bloomberg News,http://193.24.209.91/Smart.php?id=bloomberg_twn
Al-Jazeera,http://193.24.209.91/Smart.php?id=aljazeera_twn
Rock Entertainment,http://193.24.209.91/Smart.php?id=Rockentertain
Showcase,http://193.24.209.91/Smart.php?id=Showcase_mega
BolaArena 2,http://193.24.209.91/Smart.php?id=Bolaarena2
新加坡 Singapore,#genre#
Channel 5,http://193.24.209.91/Smart.php?id=Channel5HD
Channel 5(備用),http://193.24.209.91/Smart.php?id=Ch5_mega
Channel 8,http://193.24.209.91/Smart.php?id=Channel8HD
Channel 8(備用),http://193.24.209.91/Smart.php?id=Ch8_mega
Suria,http://193.24.209.91/Smart.php?id=Suria
Suria(備用),http://193.24.209.91/Smart.php?id=Suria_backup
Channel U,http://193.24.209.91/Smart.php?id=ChannelU
Channel U(備用),http://193.24.209.91/Smart.php?id=ChU_mega
Vasantham,http://193.24.209.91/Smart.php?id=Vasantham
Vasantham(備用),http://193.24.209.91/Smart.php?id=Vasantham_mega
CNA,http://193.24.209.91/Smart.php?id=cna
CNA(備用),http://193.24.209.91/Smart.php?id=cna_twn
印尼 Indonesia,#genre#
TVRI National,http://193.24.209.91/Smart.php?id=TVRI
RCTI,http://193.24.209.91/Smart.php?id=Rcti
Kompass TV,http://193.24.209.91/Smart.php?id=Kompass
Berita Satu,http://193.24.209.91/Smart.php?id=BeritaSatu_eko
Indosiar HD,http://193.24.209.91/Smart.php?id=Indosiar
AnTV,http://193.24.209.91/Smart.php?id=Antv
MNC TV,http://193.24.209.91/Smart.php?id=Mnctv
Trans 7,http://193.24.209.91/Smart.php?id=Trans7_eko
Transtv,http://193.24.209.91/Smart.php?id=Transtv
JTV,http://193.24.209.91/Smart.php?id=JTV_eko
Metro TV,http://193.24.209.91/Smart.php?id=metrotv_eko
Cinemax,http://193.24.209.91/Smart.php?id=Cinemax
SCTV,http://193.24.209.91/Smart.php?id=SCTV
Tvone,http://193.24.209.91/Smart.php?id=Tvone
TVMU,http://193.24.209.91/Smart.php?id=TVMU_eko
GTV,http://193.24.209.91/Smart.php?id=Gtv
RTV,http://193.24.209.91/Smart.php?id=Rtv
