電影,#genre#
Astrol Kplus,https://py.doube.eu.org/xinghuo?url=/Astrol-Kplus/1146
Sony Pix,https://py.doube.eu.org/xinghuo?url=/Sony-Pix/1145
Paramount Network,https://py.doube.eu.org/xinghuo?url=/Paramount-Network/1144
AXN,https://py.doube.eu.org/xinghuo?url=/Axn/1143
天映頻道,https://py.doube.eu.org/xinghuo?url=/Celestial-Movies/1142
天映經典,https://py.doube.eu.org/xinghuo?url=/Celestial-Classic/1141
tvN Movie,https://py.doube.eu.org/xinghuo?url=/tvN-Movie/1140
One,https://py.doube.eu.org/xinghuo?url=/One/1139
HITS Movie,https://py.doube.eu.org/xinghuo?url=/Hits-Movie/1138
Thrill,https://py.doube.eu.org/xinghuo?url=/Thrill/1137
SCM,https://py.doube.eu.org/xinghuo?url=/SCM/1135
星衛電影,https://py.doube.eu.org/xinghuo?url=/Star-Movies/1134
HBO HITS,https://py.doube.eu.org/xinghuo?url=/HBO-Hits/1133
HBO Signature,https://py.doube.eu.org/xinghuo?url=/HBO-Signature/1132
美亞電影,https://py.doube.eu.org/xinghuo?url=/Mei-Ah-Movie/1131
HBO,https://py.doube.eu.org/xinghuo?url=/HBO/1130
星衛電影,https://py.doube.eu.org/xinghuo?url=/Star-Movies/1129
HITS,https://py.doube.eu.org/xinghuo?url=/Hits/1127
HBO Family,https://py.doube.eu.org/xinghuo?url=/HBO-Family/1126
衛視中文,https://py.doube.eu.org/xinghuo?url=/Star-Movies-Chinese/1125
Movies Now,https://py.doube.eu.org/xinghuo?url=/Movies-Now/1123
龍祥時代,https://py.doube.eu.org/xinghuo?url=/Longxiang-Times/1122
龍華洋片,https://py.doube.eu.org/xinghuo?url=/Lunghua-Western/1120
東森洋片,https://py.doube.eu.org/xinghuo?url=/ETTV-Western/1119
東森電影,https://py.doube.eu.org/xinghuo?url=/ETTV-Movie/1118
大愛2台,https://py.doube.eu.org/xinghuo?url=/DaAi-2/1117
CINEMAX,https://py.doube.eu.org/xinghuo?url=/CINEMAX/1115
CCTV-6,https://py.doube.eu.org/xinghuo?url=/CCTV-6/1114
Hollywood,https://py.doube.eu.org/xinghuo?url=/Hollywood-Movies/1113
HBO HITS,https://py.doube.eu.org/xinghuo?url=/HBO_HITS/1112
HBO HD,https://py.doube.eu.org/xinghuo?url=/HBO_HD/1111

新聞,#genre#
BBC World News,https://py.doube.eu.org/xinghuo?url=/BBC-World-News/1206
BBC World News,https://py.doube.eu.org/xinghuo?url=/BBC-World-News/1205
CNA,https://py.doube.eu.org/xinghuo?url=/CNA/1204
CNBC,https://py.doube.eu.org/xinghuo?url=/CNBC/1203
CNN,https://py.doube.eu.org/xinghuo?url=/CNN/1202
CNN International,https://py.doube.eu.org/xinghuo?url=/CNN-International/1201
CGTN,https://py.doube.eu.org/xinghuo?url=/CGTN/1200
Fox News,https://py.doube.eu.org/xinghuo?url=/Fox-News/1199
NHK World,https://py.doube.eu.org/xinghuo?url=/NHK-World/1198
DW (Deutsch),https://py.doube.eu.org/xinghuo?url=/DW-(Deutsch)/1197
France 24,https://py.doube.eu.org/xinghuo?url=/France-24/1196
CBSN,https://py.doube.eu.org/xinghuo?url=/CBSN/1195
CBS,https://py.doube.eu.org/xinghuo?url=/CBS/1194
ETTV Business,https://py.doube.eu.org/xinghuo?url=/ETTV-Business/1193
ABC News,https://py.doube.eu.org/xinghuo?url=/ABC-News/1192
Skynews,https://py.doube.eu.org/xinghuo?url=/Skynews/1191

體育,#genre#
Astro Beinsports 1,https://py.doube.eu.org/xinghuo?url=/Astro-Beinsports-1/1272
Arena Bola 2,https://py.doube.eu.org/xinghuo?url=/arena-bola-2/1271
BolaArena 1,https://py.doube.eu.org/xinghuo?url=/BolaArena-1/1270
Arena 2,https://py.doube.eu.org/xinghuo?url=/Arena-2/1269
Arena,https://py.doube.eu.org/xinghuo?url=/Arena/1268
RTM Sports,https://py.doube.eu.org/xinghuo?url=/RTM-Sports/1267
Rugby Pass TV,https://py.doube.eu.org/xinghuo?url=/Rugby-Pass-TV/1266
Bein 1 Sports,https://py.doube.eu.org/xinghuo?url=/Bein-1-Sports/1259
Bein 2 Sports,https://py.doube.eu.org/xinghuo?url=/Bein-2-Sports/1260
Bein 3 Sports,https://py.doube.eu.org/xinghuo?url=/Bein-3-Sports/1261
Bein 4 Sports,https://py.doube.eu.org/xinghuo?url=/Bein-4-Sports/1262
Bein 5 Sports,https://py.doube.eu.org/xinghuo?url=/Bein-5-Sports/1263
Bein 6 Sports,https://py.doube.eu.org/xinghuo?url=/Bein-6-Sports/1264
Bein 7 Sports,https://py.doube.eu.org/xinghuo?url=/Bein-7-Sports/1265
ElTA 體育 2,https://py.doube.eu.org/xinghuo?url=/Elta-Sports-2/1257
ElTA 體育 3,https://py.doube.eu.org/xinghuo?url=/Elta-Sports-3/1258
CCTV5+,https://py.doube.eu.org/xinghuo?url=/CCTV-5+-Sports-Events/1256
CCTV5,https://py.doube.eu.org/xinghuo?url=/cctv-5-sports-channel/1255
Skysports Mix,https://py.doube.eu.org/xinghuo?url=/Skysports-Mix/1254
Skysports News,https://py.doube.eu.org/xinghuo?url=/Skysports-News/1253
Skysports Main Event,https://py.doube.eu.org/xinghuo?url=/Skysports-Main-Event/1252
Skysports Golf,https://py.doube.eu.org/xinghuo?url=/Skysports-Golf/1251
Skysports Football,https://py.doube.eu.org/xinghuo?url=/Skysports-Football/1250
Skysports EPL,https://py.doube.eu.org/xinghuo?url=/Skysports-EPL/1249
Skysports Cricket,https://py.doube.eu.org/xinghuo?url=/Skysports-Cricket/1248
Skysports F1,https://py.doube.eu.org/xinghuo?url=/Skysports-F1/1247
Skysports Arena,https://py.doube.eu.org/xinghuo?url=/Skysports-Arena/1246
SPOTV 1,https://py.doube.eu.org/xinghuo?url=/SPOTV-1/1244
SPOTV 2,https://py.doube.eu.org/xinghuo?url=/SPO-TV-2/1245
Sony Ten 1,https://py.doube.eu.org/xinghuo?url=/Sony-Ten-1/1241
Sony Ten 2,https://py.doube.eu.org/xinghuo?url=/Sony-Ten-2/1242
Sony Ten 3,https://py.doube.eu.org/xinghuo?url=/Sony-Ten-3/1243
TNT Sports 1,https://py.doube.eu.org/xinghuo?url=/TNT-Sports-1/1237
TNT Sports 2,https://py.doube.eu.org/xinghuo?url=/TNT-Sports-2/1238
TNT Sports 3,https://py.doube.eu.org/xinghuo?url=/TNT-Sports-3/1239
TNT Sports 4,https://py.doube.eu.org/xinghuo?url=/TNT-Sports-4/1240
Astro Golf,https://py.doube.eu.org/xinghuo?url=/Astro-Golf/1236
Astro Cricket,https://py.doube.eu.org/xinghuo?url=/Astro-Cricket/1235
NBA TV,https://py.doube.eu.org/xinghuo?url=/NBA-TV/1234
Fight Sports,https://py.doube.eu.org/xinghuo?url=/Fight-Sports/1233
WWE,https://py.doube.eu.org/xinghuo?url=/WWE/1232
Supersports 1,https://py.doube.eu.org/xinghuo?url=/supersports-1/1227
Supersports 2,https://py.doube.eu.org/xinghuo?url=/Supersports-2/1228
Supersports 3,https://py.doube.eu.org/xinghuo?url=/Supersports-3/1229
Supersports 4,https://py.doube.eu.org/xinghuo?url=/supersports-4/1230
Supersports 5,https://py.doube.eu.org/xinghuo?url=/Supersports-5/1231

紀錄,#genre#
Foodnetwork,https://py.doube.eu.org/xinghuo?url=/Foodnetwork/1226
TLC,https://py.doube.eu.org/xinghuo?url=/TLC/1225
Animal Planet (Eng),https://py.doube.eu.org/xinghuo?url=/Animal-Planet/1224
NatGeo Wild,https://py.doube.eu.org/xinghuo?url=/NatGeo-Wild/1223
MTV Live,https://py.doube.eu.org/xinghuo?url=/MTV-Live/1222
BBC Earth Lifestyle,https://py.doube.eu.org/xinghuo?url=/BBC-Earth-Lifestyle/1221
BBC Earth,https://py.doube.eu.org/xinghuo?url=/BBC-Earth/1220
History,https://py.doube.eu.org/xinghuo?url=/History/1219
Fashion TV,https://py.doube.eu.org/xinghuo?url=/Fashion-TV/1218
NatGeo,https://py.doube.eu.org/xinghuo?url=/NatGeo/1217
Asia Gourmet,https://py.doube.eu.org/xinghuo?url=/Asia-Gourmet/1214
Discovery,https://py.doube.eu.org/xinghuo?url=/Discovery/1213
Asia Travel,https://py.doube.eu.org/xinghuo?url=/Asia-Travel/1212
CI,https://py.doube.eu.org/xinghuo?url=/CI/1211
Discovery Asia,https://py.doube.eu.org/xinghuo?url=/Discovery-Asia/1210
Animal_Planet,https://py.doube.eu.org/xinghuo?url=/Animal_Planet/1209
NatGeo_Wild,https://py.doube.eu.org/xinghuo?url=/NatGeo_Wild/1208
Natgeo_HD,https://py.doube.eu.org/xinghuo?url=/Natgeo_HD/1207

兒童,#genre#
Cartoon Network,https://py.doube.eu.org/xinghuo?url=/cartoon-network/1282
ETTV Yoyo TV,https://py.doube.eu.org/xinghuo?url=/ETTV-Yoyo-TV/1281
SkyLink Cartoon Channel,https://py.doube.eu.org/xinghuo?url=/SkyLink-Cartoon-Channel/1280
MiaoMi,https://py.doube.eu.org/xinghuo?url=/MiaoMi/1279
Baby TV,https://py.doube.eu.org/xinghuo?url=/Baby-TV/1278
Animax,https://py.doube.eu.org/xinghuo?url=/Animax/1277
Momo TV,https://py.doube.eu.org/xinghuo?url=/Momo-TV/1276
Kids TV,https://py.doube.eu.org/xinghuo?url=/Kids-TV/1275
CBeebies,https://py.doube.eu.org/xinghuo?url=/CBeebies/1274
Baby TV Eng,https://py.doube.eu.org/xinghuo?url=/Baby-TV-Eng/1273

台灣,#genre#
AFC亞洲旅遊,https://py.doube.eu.org/xinghuo?url=/AFC-Asia-Travel-Channel/1110
ElTA 影劇,https://py.doube.eu.org/xinghuo?url=/Elta-Drama/1109
ElTA 综合,https://py.doube.eu.org/xinghuo?url=/Elta-General-Channel/1107
YOYO TV,https://py.doube.eu.org/xinghuo?url=/Yoyo-TV/1103
EYETV旅遊,https://py.doube.eu.org/xinghuo?url=/EYETV-Travel/1099
龍祥時代,https://py.doube.eu.org/xinghuo?url=/Longxiang-Times/1098
博斯無限,https://py.doube.eu.org/xinghuo?url=/Boss-Infinity/1096
博斯網球,https://py.doube.eu.org/xinghuo?url=/Boss-Tennis/1093
博斯高球,https://py.doube.eu.org/xinghuo?url=/Boss-Golf-2/1092
博斯運動1,https://py.doube.eu.org/xinghuo?url=/Boss-Sports-1/1090
阿里郎,https://py.doube.eu.org/xinghuo?url=/Arirang/1089
TLC Asia,https://py.doube.eu.org/xinghuo?url=/TLC-Asia/1087
Food Planet,https://py.doube.eu.org/xinghuo?url=/Food-Planet/1086
亞洲美食,https://py.doube.eu.org/xinghuo?url=/Asia-Gourmet/1085
大愛2,https://py.doube.eu.org/xinghuo?url=/Tzu-Chi-2/1084
好消息2,https://py.doube.eu.org/xinghuo?url=/Good-TV-2/1083
緯來精彩,https://py.doube.eu.org/xinghuo?url=/Videoland-Wonderful/1082
緯來育樂,https://py.doube.eu.org/xinghuo?url=/Videoland-Entertainment/1081
緯來綜合,https://py.doube.eu.org/xinghuo?url=/Videoland-General-Channel/1080
緯來體育,https://py.doube.eu.org/xinghuo?url=/Videoland-Sports-Channel/1079
緯來日本,https://py.doube.eu.org/xinghuo?url=/Videoland-Japan-Channel/1077
靖天國際,https://py.doube.eu.org/xinghuo?url=/SkyLink-International-Channel/1075
龍華戲劇,https://py.doube.eu.org/xinghuo?url=/Lunghua-Idol/1073
龍華經典,https://py.doube.eu.org/xinghuo?url=/Lunghua-Classic-Channel/1072
大愛1,https://py.doube.eu.org/xinghuo?url=/Tzu-Chi-1/1069
公視2,https://py.doube.eu.org/xinghuo?url=/CTV-Public-Television-2/1068
寰宇新聞,https://py.doube.eu.org/xinghuo?url=/Universal-News-Channel/1067
寰宇財經,https://py.doube.eu.org/xinghuo?url=/Universal-Finance/1066
東森財經,https://py.doube.eu.org/xinghuo?url=/ETTV-Business/1065
東森超視,https://py.doube.eu.org/xinghuo?url=/ETTV-Super-Channel/1064
東森綜合,https://py.doube.eu.org/xinghuo?url=/ETTV-Metro/1062
三立都會,https://py.doube.eu.org/xinghuo?url=/Sanli-Metro-Channel/1059
三立國際,https://py.doube.eu.org/xinghuo?url=/Sanli-Metro/1058
三立臺灣,https://py.doube.eu.org/xinghuo?url=/Sanli-Taiwan/1056
八大娛樂,https://py.doube.eu.org/xinghuo?url=/GTV-Entertainment/1052
八大戲劇,https://py.doube.eu.org/xinghuo?url=/GTV-Drama/1051
八大綜合,https://py.doube.eu.org/xinghuo?url=/GTV-Metro/1050
公視,https://py.doube.eu.org/xinghuo?url=/CTV-Public-Television/1048
華視,https://py.doube.eu.org/xinghuo?url=/CTS/1047
民視,https://py.doube.eu.org/xinghuo?url=/FTV/1044
民視新聞,https://py.doube.eu.org/xinghuo?url=/FTV-News-News-Channel/1045
民視台灣台,https://py.doube.eu.org/xinghuo?url=/FTV-Taiwan-Channel/1046
中視,https://py.doube.eu.org/xinghuo?url=/CTV/1042
中視新聞,https://py.doube.eu.org/xinghuo?url=/CTV-News-Channel/1043
台視視,https://py.doube.eu.org/xinghuo?url=/TTV/1039
台視新聞,https://py.doube.eu.org/xinghuo?url=/TTV-News-Channel/1040
台視綜合,https://py.doube.eu.org/xinghuo?url=/TTV-General-Channel/1041
中天亞洲,https://py.doube.eu.org/xinghuo?url=/CTI-Asia-Channel/1038
中天綜合,https://py.doube.eu.org/xinghuo?url=/CTI-Metro/1037
中天娛樂,https://py.doube.eu.org/xinghuo?url=/CTI-Entertaiment/1036
中天新聞,https://py.doube.eu.org/xinghuo?url=/CTI-News/1035
TVBS,https://py.doube.eu.org/xinghuo?url=/TVBS/1034
TVBS歡樂,https://py.doube.eu.org/xinghuo?url=/TVBS-Happy-Channel/1033
TVBS新聞,https://py.doube.eu.org/xinghuo?url=/TVBS-News-News-Channel/1032

香港,#genre#
Now財經,https://py.doube.eu.org/xinghuo?url=/nowcj/1286
Now直播,https://py.doube.eu.org/xinghuo?url=/nowxw/1285
Now新聞,https://py.doube.eu.org/xinghuo?url=/nowxw/1284
鳳凰資訊,https://py.doube.eu.org/xinghuo?url=/fhzx/1283
鳳凰中文,https://py.doube.eu.org/xinghuo?url=/Phoenix-Satellite-TV/995
HK32,https://py.doube.eu.org/xinghuo?url=/Radio-Television-Hong-Kong-32/994
ViuTV1,https://py.doube.eu.org/xinghuo?url=/ViuTV1/993
HK31,https://py.doube.eu.org/xinghuo?url=/Radio-Television-Hong-Kong-31/992
無線財經,https://py.doube.eu.org/xinghuo?url=/TVB-Finance-&-Information-Channel/991
鳳凰香港,https://py.doube.eu.org/xinghuo?url=/Phoenix-Hong-Kong/990
明珠臺,https://py.doube.eu.org/xinghuo?url=/TVB-Pearl/989
無線新聞,https://py.doube.eu.org/xinghuo?url=/iNews-News-Channel/987
翡翠臺,https://py.doube.eu.org/xinghuo?url=/翡翠臺/986


印尼,#genre#
天映頻道,https://py.doube.eu.org/xinghuo?url=/Celestial-Movies/985
tvN Movie,https://py.doube.eu.org/xinghuo?url=/tvN-Movie/984
